<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,void,),{,int,W,",",H,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,W,",",&,H,",",&,x,",",&,y,",",&,r,),;,if,(,x,=,=,0,|,|,x,=,=,W,|,|,y,=,=,0,|,|,y,=,=,H,|,|,y,+,r,>,H,|,|,y,-,r,<,0,|,|,x,+,r,>,W,|,|,x,-,r,<,0,),{,printf,(,"""",N,o,\,n,"""",),;,},else,{,printf,(,"""",Y,e,s,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,void,),{,int,W,",",H,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,W,",",&,H,",",&,x,",",&,y,",",&,r,),;,if,(,0,<,=,x,-,r,&,&,x,+,r,<,=,W,&,&,0,<,=,y,-,r,&,&,y,+,r,<,=,H,),{,printf,(,"""",Y,e,s,\,n,"""",),;,},else,{,printf,(,"""",N,o,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,void,),{,int,W,",",H,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,W,",",&,H,",",&,x,",",&,y,",",&,r,),;,if,(,0,<,=,x,-,r,&,&,x,+,r,<,=,W,&,&,0,<,=,y,-,r,&,&,y,+,r,<,=,H,),{,printf,(,"""",Y,e,s,\,n,"""",),;,},else,{,printf,(,"""",N,o,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,),{,int,W,",",H,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,W,",",&,H,",",&,x,",",&,y,",",&,r,),;,if,(,x,-,r,<,0,|,|,W,<,x,+,r,|,|,y,-,r,<,0,|,|,H,<,y,+,r,),{,printf,(,"""",N,o,\,n,"""",),;,},else,{,printf,(,"""",Y,e,s,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,void,),{,int,W,",",H,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,W,",",&,H,",",&,x,",",&,y,",",&,r,),;,if,(,(,x,+,r,<,=,W,),&,&,(,x,>,=,r,),&,&,(,y,+,r,<,=,H,),&,&,(,y,>,=,r,),),{,printf,(,"""",Y,e,s,\,n,"""",),;,},else,{,printf,(,"""",N,o,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,),{,int,W,",",H,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,W,",",&,H,",",&,x,",",&,y,",",&,r,),;,if,(,(,x,-,r,<,0,),|,|,(,y,-,r,<,0,),|,|,(,x,+,r,>,W,),|,|,(,y,+,r,>,H,),),{,printf,(,"""",N,o,\,n,"""",),;,},else,{,printf,(,"""",Y,e,s,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,void,),{,int,width,",",height,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,width,",",&,height,",",&,x,",",&,y,",",&,r,),;,if,(,(,x,-,r,),<,0,|,|,(,x,+,r,),>,width,|,|,(,y,-,r,),<,0,|,|,(,y,+,r,),>,height,),{,printf,(,"""",N,o,\,n,"""",),;,},else,{,printf,(,"""",Y,e,s,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,void,),{,int,w,",",h,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,w,",",&,h,",",&,x,",",&,y,",",&,r,),;,if,(,r,<,=,x,&,&,x,<,=,w,-,r,&,&,r,<,=,y,&,&,y,<,=,h,-,r,),{,puts,(,"""",Y,e,s,"""",),;,},else,{,puts,(,"""",N,o,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,),{,int,w,",",h,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,w,",",&,h,",",&,x,",",&,y,",",&,r,),;,if,(,x,-,r,<,0,|,|,x,+,r,>,w,|,|,y,-,r,<,0,|,|,y,+,r,>,h,),{,printf,(,"""",N,o,\,n,"""",),;,},else,{,printf,(,"""",Y,e,s,\,n,"""",),;,},return,0,;,},<eos>
<sos>,#,include,<,s,t,d,i,o,.,h,>,int,main,(,int,argc,",",const,char,*,argv,[,],),{,int,w,",",h,",",x,",",y,",",r,;,scanf,(,"""",%,d, ,%,d, ,%,d, ,%,d, ,%,d,"""",",",&,w,",",&,h,",",&,x,",",&,y,",",&,r,),;,if,(,w,<,x,+,r,|,|,x,<,0,|,|,h,<,y,+,r,|,|,y,<,0,),{,printf,(,"""",N,o,\,n,"""",),;,},else,{,printf,(,"""",Y,e,s,\,n,"""",),;,},return,0,;,},<eos>
